Price,Age,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Metallic,Automatic,CC,Doors,Cylinders,Gears,QuartTax,Weight,Guarantee,BOVAG,Period
13950,22,11,2002,49059,Petrol,97,0,0,1400,3,4,5,85,1100,0,1,3
16750,27,6,2002,44068,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3
13950,22,11,2002,46961,Petrol,97,0,0,1400,3,4,5,85,1100,1,1,3
16950,27,6,2002,110404,Diesel,90,0,0,2000,5,4,5,234,1255,1,1,3
16950,22,11,2002,100250,Diesel,90,0,0,2000,5,4,5,234,1255,1,1,3
19000,23,10,2002,84000,Diesel,90,0,0,2000,5,4,5,234,1270,0,1,3
17950,27,6,2002,79375,Diesel,90,1,0,2000,5,4,5,234,1255,0,1,3
15800,22,11,2002,75048,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
17950,22,11,2002,72215,Diesel,90,1,0,2000,5,4,5,234,1255,1,1,3
21950,31,2,2002,64982,Petrol,192,1,0,1800,5,4,6,100,1195,1,1,3
17950,22,11,2002,62636,Diesel,90,1,0,2000,5,4,5,234,1255,1,1,3
15750,30,3,2002,57086,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
20500,26,7,2002,56000,Petrol,110,1,1,1600,5,4,5,100,1180,1,1,3
21950,27,6,2002,49866,Petrol,192,1,0,1800,5,4,5,100,1195,0,1,13
15500,25,8,2002,49163,Petrol,110,0,1,1600,5,4,5,100,1165,0,1,3
13250,32,1,2002,45725,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
15250,28,5,2002,43210,Petrol,97,0,0,1400,5,4,5,85,1110,0,1,3
15250,26,7,2002,43000,Petrol,97,0,0,1400,5,4,5,85,1110,1,1,3
18950,23,10,2002,39704,Petrol,110,1,1,1600,5,4,5,100,1180,1,1,3
15999,30,3,2002,38950,Petrol,110,1,0,1600,5,4,5,85,1130,0,1,3
14950,22,11,2002,37400,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
16500,27,6,2002,37177,Petrol,110,0,0,1600,5,4,5,85,1130,0,1,3
18750,31,2,2002,36544,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
17950,30,3,2002,33511,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
17950,27,6,2002,32809,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
16950,26,7,2002,32181,Petrol,110,1,0,1600,5,4,5,19,1075,0,1,12
18950,28,5,2002,30993,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
14950,22,11,2002,30400,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
22250,22,11,2002,30000,Diesel,110,1,0,2000,5,4,5,234,1275,1,1,3
15950,25,8,2002,29719,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
15950,28,5,2002,29206,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
12995,32,1,2002,29198,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3
18950,28,5,2002,28817,Petrol,110,1,0,1598,5,4,5,85,1130,1,1,3
15750,23,10,2002,28227,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
19950,28,5,2002,28000,Petrol,110,0,0,1600,5,4,5,85,1130,1,0,3
16950,23,10,2002,28000,Petrol,110,1,0,1600,5,4,5,85,1115,1,1,3
18750,31,2,2002,25266,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
18450,27,6,2002,23489,Petrol,110,0,0,1600,5,4,5,85,1115,0,1,3
16895,29,4,2002,22575,Petrol,110,1,0,1600,5,4,5,85,1115,1,1,3
14900,30,3,2002,22000,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
18950,25,8,2002,20019,Petrol,110,1,1,16000,5,4,5,100,1180,0,0,3
17250,29,4,2002,20000,Petrol,110,1,0,1600,5,4,5,85,1115,1,1,3
15450,25,8,2002,17003,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
17950,31,2,2002,16238,Petrol,110,1,1,1600,5,4,5,100,1180,1,1,3
16650,25,8,2002,15414,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
17450,28,5,2002,8537,Petrol,110,1,0,1600,5,4,5,85,1130,0,1,3
14900,30,3,2002,7000,Petrol,97,1,0,1400,5,4,5,85,1100,0,0,12
17950,20,1,2003,66966,Diesel,90,1,0,2000,3,4,5,210,1245,0,1,3
15950,19,2,2003,51884,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3
21950,19,2,2003,50005,Diesel,110,1,0,2000,3,4,5,234,1265,1,1,3
16450,20,1,2003,48110,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3
22250,20,1,2003,37500,Diesel,90,1,0,2000,3,4,5,234,1260,0,1,3
19950,16,5,2003,34472,Diesel,90,1,0,1995,3,4,5,234,1260,0,0,3
15950,20,1,2003,33329,Petrol,97,1,0,1400,3,4,5,85,1100,0,1,3
18900,20,1,2003,31850,Petrol,110,0,0,1600,3,4,5,85,1120,0,1,20
19950,17,4,2003,30351,Diesel,90,1,0,1995,3,4,5,234,1260,0,0,3
15950,19,2,2003,29435,Petrol,97,1,0,1400,3,4,5,85,1100,0,1,3
15950,19,2,2003,25948,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3
18750,11,10,2003,24500,Petrol,110,1,0,1600,3,4,5,85,1120,0,0,3
17450,18,3,2003,23902,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3
18990,20,1,2003,23175,Petrol,110,1,0,1600,3,4,5,85,1120,1,1,3
16250,19,2,2003,19200,Petrol,97,1,0,1400,3,4,5,85,1100,0,1,3
18500,13,8,2003,18000,Petrol,71,0,0,1400,3,4,5,85,1125,0,1,12
18500,11,10,2003,16123,Petrol,110,1,0,1600,3,4,5,85,1105,1,1,3
19450,11,10,2003,14635,Petrol,110,1,1,1600,3,4,5,100,1155,1,1,3
16950,19,2,2003,13748,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3
18800,14,7,2003,11500,Petrol,110,1,0,1600,3,4,5,69,1045,0,0,12
17450,17,4,2003,10000,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3
17950,20,1,2003,7187,Petrol,110,1,0,1600,3,4,5,85,1105,1,1,3
32500,4,5,2004,1,Diesel,116,0,0,2000,5,4,5,283,1480,1,1,3
31000,4,5,2004,4000,Diesel,116,1,0,2000,5,4,5,283,1480,0,1,3
31275,4,5,2004,1500,Diesel,116,1,0,2000,5,4,5,283,1480,1,1,3
24950,8,1,2004,13253,Diesel,116,1,0,2000,5,4,5,234,1320,0,0,3
24950,8,1,2004,13253,Diesel,116,1,0,2000,5,4,5,234,1320,0,0,3
22950,7,2,2004,10000,Diesel,116,1,0,2000,5,4,5,234,1270,0,1,3
24990,8,1,2004,6000,Diesel,90,1,0,2000,5,4,5,234,1280,1,1,3
21950,8,1,2004,10841,Diesel,90,1,0,2000,5,4,5,234,1270,0,1,3
17900,7,2,2004,1,Petrol,110,1,0,1600,3,4,5,85,1105,0,1,3
19250,20,1,2003,63000,Diesel,90,1,0,2000,5,4,5,234,1255,0,1,3
22250,17,4,2003,57313,Diesel,110,1,0,2000,5,4,5,234,1275,1,1,3
18950,13,8,2003,57037,Petrol,110,0,0,1600,5,4,5,85,1115,0,1,3
19950,19,2,2003,51099,Diesel,90,1,0,2000,5,4,5,234,1255,0,0,3
16350,14,7,2003,40010,Petrol,110,1,0,1600,5,4,5,85,1115,1,1,3
18950,20,1,2003,39115,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
16950,17,4,2003,36012,Petrol,110,0,0,1600,5,4,5,85,1130,1,1,3
21750,16,5,2003,36000,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
15950,20,1,2003,36000,Petrol,110,1,0,1600,5,4,5,19,1075,0,1,3
16500,20,1,2003,35000,Petrol,97,1,0,1400,5,4,5,85,1110,0,0,3
17950,17,4,2003,33740,Petrol,97,1,0,1400,5,4,5,85,1135,0,1,3
15850,13,8,2003,33477,Petrol,110,1,0,1600,5,4,5,19,1075,0,0,3
16250,20,1,2003,32627,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
15950,20,1,2003,29797,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
16250,19,2,2003,29441,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
15950,13,8,2003,29371,Petrol,110,1,0,1600,4,4,5,19,1105,0,0,24
16500,20,1,2003,29000,Petrol,97,0,0,1400,5,4,5,85,1110,0,1,3
16500,19,2,2003,27821,Petrol,97,0,0,1400,5,4,5,85,1110,1,1,3
18450,19,2,2003,27371,Petrol,97,0,0,1400,5,4,5,85,1135,0,1,3
16250,13,8,2003,25170,Petrol,110,1,0,1600,5,4,5,19,1105,0,0,24
23000,11,10,2003,25000,Diesel,116,1,0,2000,5,4,5,64,1320,0,0,3
19900,20,1,2003,23000,Petrol,110,1,0,1600,5,4,5,85,1130,0,0,3
16450,20,1,2003,22588,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
23950,19,2,2003,21684,Petrol,192,1,0,1800,5,4,5,19,1185,0,1,12
19950,13,8,2003,21428,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
18500,16,5,2003,20629,Petrol,110,1,0,1600,4,4,5,85,1090,1,1,3
18950,15,6,2003,20270,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
16450,16,5,2003,20105,Petrol,97,0,0,1400,5,4,5,85,1110,1,1,3
20500,20,1,2003,20000,Petrol,110,0,1,1600,5,4,5,100,1165,0,1,3
24500,13,8,2003,19988,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
19450,19,2,2003,18328,Petrol,110,0,0,1600,5,4,5,85,1130,1,1,3
20950,14,7,2003,17896,Petrol,110,1,1,1600,4,4,5,85,1150,0,1,3
17200,20,1,2003,17300,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
19950,19,2,2003,17038,Petrol,110,0,0,1600,5,4,5,85,1130,1,1,3
18450,10,11,2003,13747,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
19500,12,9,2003,13634,Petrol,110,1,0,1600,5,4,5,85,1115,1,1,3
21750,13,8,2003,13178,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
16868,15,6,2003,13157,Petrol,97,1,0,1400,4,4,5,85,1085,1,1,3
19500,16,5,2003,13000,Petrol,110,1,0,1600,4,4,5,85,1105,1,1,3
18900,11,10,2003,12500,Petrol,110,1,0,1600,5,4,5,85,1115,1,1,3
19750,17,4,2003,11999,Petrol,110,1,0,1600,5,4,5,85,1130,0,1,3
19750,16,5,2003,11754,Petrol,110,0,1,1600,5,4,5,100,1180,0,1,3
18950,16,5,2003,11000,Petrol,110,1,0,1600,4,4,5,85,1105,1,1,3
20750,17,4,2003,10000,Petrol,110,0,0,1598,5,4,5,85,1105,0,1,12
19600,9,12,2003,7650,Petrol,110,1,0,1600,5,4,5,85,1115,0,1,3
19500,14,7,2003,6500,Petrol,110,1,0,1600,4,4,5,85,1100,0,1,28
17650,11,10,2003,6155,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
19950,14,7,2003,6000,Petrol,110,0,0,1600,5,4,5,85,1130,0,1,3
19950,14,7,2003,5459,Petrol,110,1,0,1600,5,4,5,85,1130,0,1,3
20950,14,7,2003,5278,Petrol,110,1,1,1600,4,4,5,85,1150,1,1,3
20500,12,9,2003,5000,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
17795,9,12,2003,1,Petrol,98,1,0,1400,4,4,5,19,1065,0,0,36
18245,9,12,2003,1,Petrol,110,1,0,1600,5,4,5,19,1075,0,0,36
23750,8,1,2004,11000,Petrol,110,1,0,1600,5,4,5,85,1130,0,1,24
19500,8,1,2004,10077,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
18950,8,1,2004,10000,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
21950,8,1,2004,9788,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
19950,8,1,2004,8574,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
18950,8,1,2004,7000,Petrol,110,0,0,1600,5,4,5,85,1115,0,1,3
19950,7,2,2004,6250,Petrol,110,1,0,1600,5,4,5,85,1115,0,1,3
21950,8,1,2004,5000,Petrol,110,1,0,1600,5,4,5,85,1130,0,1,3
22500,6,3,2004,3000,Petrol,110,0,0,1600,5,4,5,85,1130,1,1,3
18500,7,2,2004,2000,Petrol,110,0,0,1600,5,4,5,19,1075,0,1,24
18700,7,2,2004,450,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3
21125,2,7,2004,225,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3
21500,2,7,2004,15,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3
17795,1,8,2004,1,Petrol,98,1,0,1400,4,4,5,19,1100,0,0,36
18245,1,8,2004,1,Petrol,110,1,0,1600,5,4,5,19,1075,0,0,36
6950,43,2,2001,243000,Diesel,69,0,0,1900,3,4,5,185,1110,0,1,3
9500,38,7,2001,180638,Diesel,90,0,0,2000,4,4,5,210,1160,0,1,3
11950,40,5,2001,179860,Diesel,90,1,0,2000,5,4,5,210,1205,0,1,3
7750,43,2,2001,178858,CNG,110,0,0,1600,3,4,5,197,1084,0,1,3
11950,40,5,2001,161000,Diesel,69,1,0,1900,3,4,5,185,1105,0,1,3
4350,44,1,2001,158320,Diesel,69,0,0,1800,5,4,5,64,1110,0,0,3
4750,44,1,2001,131273,Diesel,69,1,0,1800,5,4,5,64,1110,0,0,3
11750,40,5,2001,130062,Diesel,69,1,0,1900,5,4,5,185,1140,0,1,3
13250,41,4,2001,123425,Diesel,69,1,0,1900,5,4,5,185,1140,0,1,3
11950,37,8,2001,118217,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
11900,44,1,2001,110000,Diesel,69,1,0,1900,5,4,5,185,1095,0,0,6
14750,39,6,2001,108847,Diesel,90,1,0,2000,5,4,5,210,1205,0,1,3
9950,42,3,2001,105699,Petrol,97,1,0,1400,3,4,5,69,1025,0,1,3
11950,39,6,2001,98823,CNG,110,1,0,1600,5,4,5,197,1119,1,1,3
11495,44,1,2001,96829,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
11250,40,5,2001,96518,Petrol,97,1,0,1400,3,4,5,69,1025,0,1,12
10500,42,3,2001,92204,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
10450,35,10,2001,91456,Diesel,69,1,0,1900,3,4,5,185,1110,0,1,3
12950,43,2,2001,89968,Diesel,69,1,0,1900,5,4,5,185,1140,0,0,3
11500,44,1,2001,89757,Petrol,110,1,0,1600,3,4,5,69,1045,1,1,3
12500,40,5,2001,85389,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
10950,43,2,2001,85017,Petrol,97,0,0,1400,5,4,5,85,1060,1,1,3
11450,41,4,2001,84312,Petrol,110,0,0,1600,5,4,5,85,1080,0,1,3
11950,37,8,2001,82743,CNG,110,1,0,1600,5,4,5,197,1121,1,1,3
13250,41,4,2001,81106,Diesel,69,1,0,1900,5,4,5,185,1140,0,1,3
14750,40,5,2001,80425,Diesel,90,1,0,2000,5,4,5,210,1205,0,1,3
11790,34,11,2001,78677,Petrol,110,1,1,1600,5,4,5,85,1105,0,1,3
11450,40,5,2001,78425,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
13500,33,12,2001,78108,Diesel,90,1,0,2000,3,4,5,210,1170,1,1,3
10950,33,12,2001,77321,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
13500,33,12,2001,75699,Diesel,69,0,0,1900,3,4,5,185,1105,1,1,3
10950,41,4,2001,75697,Petrol,97,1,0,1400,3,4,5,69,1025,1,1,3
10950,44,1,2001,74846,Petrol,97,1,0,1400,3,4,5,69,1025,1,1,3
12950,38,7,2001,74319,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
11950,43,2,2001,74285,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,6
12450,44,1,2001,74172,Petrol,110,1,0,1600,5,4,5,163,1615,1,1,3
11950,40,5,2001,73042,Petrol,110,1,0,1598,5,4,5,85,1075,1,1,3
14950,44,1,2001,71793,CNG,110,1,0,1600,4,4,5,197,1067,1,1,3
12450,35,10,2001,71200,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
12950,38,7,2001,67805,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
11950,35,10,2001,65988,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3
11690,34,11,2001,65345,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3
12450,42,3,2001,64564,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3
12750,36,9,2001,63459,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3
11925,44,1,2001,63451,Petrol,97,0,0,1400,3,4,5,69,1025,1,1,3
12950,33,12,2001,62000,Petrol,110,1,0,1600,5,4,5,19,1075,1,0,12
11950,42,3,2001,61300,Petrol,97,1,0,1400,3,4,5,69,1030,1,1,3
12900,41,4,2001,61200,Petrol,110,1,0,1600,3,4,5,69,1045,1,1,3
11900,41,4,2001,61000,Petrol,110,0,0,1600,5,4,5,85,1075,0,1,3
11650,38,7,2001,60829,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
10950,44,1,2001,60500,Petrol,110,0,0,1600,5,4,5,85,1075,1,1,12
13950,35,10,2001,59500,Diesel,69,1,0,1900,3,4,5,64,1110,1,0,12
13950,44,1,2001,59000,Petrol,110,0,1,1600,5,4,5,85,1110,0,1,3
11950,40,5,2001,58954,Petrol,110,1,0,1600,5,4,5,85,1080,0,1,12
10950,38,7,2001,58798,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
12450,38,7,2001,58363,Petrol,110,1,0,1600,3,4,5,85,1055,0,1,3
11950,43,2,2001,58277,Petrol,110,1,0,1600,3,4,5,69,1045,0,1,3
13500,33,12,2001,57711,Diesel,90,1,0,2000,3,4,5,210,1165,1,1,3
11690,33,12,2001,57269,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
13500,39,6,2001,56001,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
11950,42,3,2001,55968,Petrol,110,0,0,1600,3,4,5,69,1050,1,1,3
12900,39,6,2001,55678,Petrol,110,1,0,1600,4,4,5,69,1030,1,1,3
13500,43,2,2001,55539,Petrol,110,1,0,1600,5,4,5,85,1085,1,1,3
11750,42,3,2001,55400,Petrol,110,0,0,1600,5,4,5,85,1075,1,1,3
11750,33,12,2001,55350,Petrol,110,0,0,1600,5,4,5,85,1075,1,1,3
10850,43,2,2001,54600,Petrol,110,0,0,1600,4,4,5,69,1030,1,1,3
11750,43,2,2001,53773,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
14950,42,3,2001,53719,Petrol,110,1,1,1600,5,4,5,85,1105,1,1,3
9940,39,6,2001,53644,Petrol,110,1,0,1600,5,4,5,19,1075,0,0,3
12900,42,3,2001,53350,Petrol,110,0,0,1600,5,4,5,85,1075,1,1,12
13500,38,7,2001,53000,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,6
11750,44,1,2001,52084,Petrol,97,1,0,1400,3,4,5,69,1025,1,1,3
11950,44,1,2001,52000,Petrol,97,0,0,1400,3,4,5,69,1025,0,1,3
13450,33,12,2001,51945,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
11950,41,4,2001,51732,Petrol,97,1,0,1400,3,4,5,69,1025,0,1,3
12495,39,6,2001,50873,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
13500,41,4,2001,50856,Petrol,110,0,0,1600,4,4,5,69,1030,0,1,12
12750,40,5,2001,50640,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
12000,39,6,2001,50000,Petrol,97,1,0,1400,5,4,5,85,1060,0,0,3
11950,38,7,2001,49500,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
12495,44,1,2001,49332,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3
12450,34,11,2001,49291,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3
14750,40,5,2001,48952,Diesel,90,1,0,2000,5,4,5,210,1205,0,1,3
10950,39,6,2001,48945,Petrol,110,0,0,1600,3,4,5,69,1040,0,1,3
13500,33,12,2001,48928,Diesel,69,1,0,1900,3,4,5,185,1105,1,1,3
12950,38,7,2001,48197,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
13500,35,10,2001,48052,Diesel,69,1,0,1900,3,4,5,185,1105,1,1,3
13450,34,11,2001,48011,Petrol,110,1,0,1600,4,4,5,69,1030,1,1,3
13500,43,2,2001,48000,Petrol,110,1,0,1600,5,4,5,85,1075,0,0,6
11480,41,4,2001,47350,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
13450,39,6,2001,46821,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3
11495,39,6,2001,46694,Petrol,110,0,0,1600,3,4,5,69,1040,1,1,3
12750,43,2,2001,46515,Petrol,97,0,0,1400,5,4,5,69,1025,0,0,12
14990,38,7,2001,46327,Petrol,110,1,0,1600,3,4,5,85,1055,1,1,3
12950,35,10,2001,46304,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3
12950,40,5,2001,45886,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3
12850,39,6,2001,45713,Petrol,97,1,0,1400,5,4,5,19,1085,0,1,6
13950,40,5,2001,45600,Petrol,110,1,1,1600,5,4,5,85,1105,0,1,3
11950,41,4,2001,45287,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
12950,39,6,2001,45081,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
11700,40,5,2001,44830,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
9950,37,8,2001,44757,Petrol,97,0,0,1400,3,4,5,69,1025,0,1,3
11895,44,1,2001,44218,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3
12950,43,2,2001,43632,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3
12500,36,9,2001,43427,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3
13875,39,6,2001,43254,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
10500,35,10,2001,43000,Petrol,110,0,0,1600,3,4,5,69,1050,0,1,3
12295,33,12,2001,42823,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
13950,42,3,2001,42560,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3
10950,38,7,2001,41754,Petrol,110,0,0,1600,3,4,5,69,1040,0,1,3
12950,44,1,2001,41499,CNG,110,1,0,1600,5,4,5,197,1103,1,1,3
12850,40,5,2001,41339,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3
13995,35,10,2001,41000,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
13750,39,6,2001,40000,Petrol,110,1,0,1600,3,4,5,85,1055,0,1,3
12750,37,8,2001,39757,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
12500,41,4,2001,39659,Petrol,110,1,0,1600,3,4,5,69,1045,1,1,3
13950,43,2,2001,39650,Petrol,110,0,0,1600,3,4,5,85,1055,0,1,3
11500,39,6,2001,39524,Petrol,97,1,0,1398,3,4,5,69,1025,1,1,3
13950,44,1,2001,39516,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3
11895,41,4,2001,39439,Petrol,97,0,0,1400,5,4,5,85,1060,1,1,3
9950,44,1,2001,39000,Petrol,97,1,0,1400,3,4,5,69,1025,0,1,3
13500,42,3,2001,38932,Petrol,110,1,0,1600,3,4,5,69,1040,0,1,12
11450,37,8,2001,38812,Petrol,97,0,0,1400,3,4,5,69,1025,1,1,3
12450,42,3,2001,38665,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3
12950,40,5,2001,38653,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3
13995,44,1,2001,38461,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3
11750,42,3,2001,38078,Petrol,97,0,0,1400,3,4,5,69,1025,0,1,3
11650,39,6,2001,37782,Petrol,97,1,0,1400,5,4,5,85,1060,0,1,3
